Stage route_pass [17/133]: 156ms; RSS 260 MiB
Batch 17/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/primary-advantage/tsconfig.json in 2253ms; RSS 260 MiB
Stage primary_extraction [18/133]: 1476ms; RSS 231 MiB
Stage schema_pass [18/133]: 73ms; RSS 235 MiB
Stage framework_pass [18/133]: 116ms; RSS 251 MiB
Stage string_literal_pass [18/133]: 212ms; RSS 265 MiB
Stage param_flow_pass [18/133]: 5ms; RSS 265 MiB
Stage route_pass [18/133]: 89ms; RSS 266 MiB
Batch 18/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/primary-advantage/tsconfig.json in 2206ms; RSS 266 MiB
Stage primary_extraction [19/133]: 494ms; RSS 208 MiB
Stage schema_pass [19/133]: 9ms; RSS 209 MiB
Stage framework_pass [19/133]: 17ms; RSS 210 MiB
Stage string_literal_pass [19/133]: 13ms; RSS 211 MiB
Stage param_flow_pass [19/133]: 5ms; RSS 212 MiB
Stage route_pass [19/133]: 21ms; RSS 212 MiB
Batch 19/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/primary-advantage/tsconfig.json in 707ms; RSS 212 MiB
Stage primary_extraction [20/133]: 945ms; RSS 232 MiB
Stage schema_pass [20/133]: 71ms; RSS 233 MiB
Stage framework_pass [20/133]: 41ms; RSS 233 MiB
Stage string_literal_pass [20/133]: 55ms; RSS 238 MiB
Stage param_flow_pass [20/133]: 9ms; RSS 239 MiB
Stage route_pass [20/133]: 84ms; RSS 250 MiB
Batch 20/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/primary-advantage/tsconfig.json in 1463ms; RSS 250 MiB
Stage primary_extraction [21/133]: 2330ms; RSS 260 MiB
Stage schema_pass [21/133]: 60ms; RSS 261 MiB
Stage framework_pass [21/133]: 340ms; RSS 293 MiB
Stage string_literal_pass [21/133]: 94ms; RSS 296 MiB
Stage param_flow_pass [21/133]: 6ms; RSS 295 MiB
Stage route_pass [21/133]: 238ms; RSS 296 MiB
Batch 21/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/primary-advantage/tsconfig.json in 3446ms; RSS 297 MiB
Stage primary_extraction [22/133]: 1553ms; RSS 250 MiB
Stage schema_pass [22/133]: 78ms; RSS 259 MiB
Stage framework_pass [22/133]: 350ms; RSS 276 MiB
Stage string_literal_pass [22/133]: 115ms; RSS 276 MiB
Stage param_flow_pass [22/133]: 6ms; RSS 277 MiB
Stage route_pass [22/133]: 180ms; RSS 287 MiB
Batch 22/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/primary-advantage/tsconfig.json in 2556ms; RSS 288 MiB
Stage primary_extraction [23/133]: 3297ms; RSS 298 MiB
Stage schema_pass [23/133]: 147ms; RSS 319 MiB
Stage framework_pass [23/133]: 624ms; RSS 335 MiB
Stage string_literal_pass [23/133]: 264ms; RSS 348 MiB
Stage param_flow_pass [23/133]: 10ms; RSS 348 MiB
Stage route_pass [23/133]: 177ms; RSS 348 MiB
