Stage param_flow_pass [25/134]: 6ms; RSS 381 MiB
Stage route_pass [25/134]: 80ms; RSS 380 MiB
Batch 25/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/primary-advantage/tsconfig.json in 2525ms; RSS 380 MiB
Stage primary_extraction [26/134]: 398ms; RSS 293 MiB
Stage schema_pass [26/134]: 29ms; RSS 305 MiB
Stage framework_pass [26/134]: 82ms; RSS 322 MiB
Stage string_literal_pass [26/134]: 85ms; RSS 327 MiB
Stage param_flow_pass [26/134]: 36ms; RSS 330 MiB
Stage route_pass [26/134]: 36ms; RSS 331 MiB
Batch 26/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/primary-advantage/tsconfig.json in 745ms; RSS 332 MiB
Stage primary_extraction [27/134]: 301ms; RSS 332 MiB
Stage schema_pass [27/134]: 22ms; RSS 298 MiB
Stage framework_pass [27/134]: 8ms; RSS 291 MiB
Stage string_literal_pass [27/134]: 8ms; RSS 288 MiB
Stage param_flow_pass [27/134]: 4ms; RSS 289 MiB
Stage route_pass [27/134]: 27ms; RSS 293 MiB
Batch 27/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/primary-advantage/tsconfig.json in 429ms; RSS 293 MiB
Stage primary_extraction [28/134]: 943ms; RSS 312 MiB
Stage schema_pass [28/134]: 67ms; RSS 319 MiB
Stage framework_pass [28/134]: 123ms; RSS 338 MiB
Stage string_literal_pass [28/134]: 51ms; RSS 338 MiB
Stage param_flow_pass [28/134]: 17ms; RSS 338 MiB
Stage route_pass [28/134]: 56ms; RSS 337 MiB
Batch 28/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/primary-advantage/tsconfig.json in 1400ms; RSS 338 MiB
Stage primary_extraction [29/134]: 857ms; RSS 314 MiB
Stage schema_pass [29/134]: 40ms; RSS 315 MiB
Stage framework_pass [29/134]: 107ms; RSS 329 MiB
Stage string_literal_pass [29/134]: 75ms; RSS 342 MiB
Stage param_flow_pass [29/134]: 13ms; RSS 342 MiB
