Stage route_pass [20/134]: 55ms; RSS 303 MiB
Batch 20/134: 32 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/primary-advantage/tsconfig.json in 898ms; RSS 304 MiB
Stage primary_extraction [21/134]: 1330ms; RSS 299 MiB
Stage schema_pass [21/134]: 40ms; RSS 299 MiB
Stage framework_pass [21/134]: 146ms; RSS 321 MiB
Stage string_literal_pass [21/134]: 66ms; RSS 322 MiB
Stage param_flow_pass [21/134]: 3ms; RSS 322 MiB
Stage route_pass [21/134]: 103ms; RSS 322 MiB
Batch 21/134: 32 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/primary-advantage/tsconfig.json in 1880ms; RSS 323 MiB
Stage primary_extraction [22/134]: 1036ms; RSS 290 MiB
Stage schema_pass [22/134]: 47ms; RSS 298 MiB
Stage framework_pass [22/134]: 138ms; RSS 312 MiB
Stage string_literal_pass [22/134]: 36ms; RSS 312 MiB
Stage param_flow_pass [22/134]: 4ms; RSS 312 MiB
Stage route_pass [22/134]: 58ms; RSS 320 MiB
Batch 22/134: 32 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/primary-advantage/tsconfig.json in 1438ms; RSS 320 MiB
Stage primary_extraction [23/134]: 1882ms; RSS 329 MiB
Stage schema_pass [23/134]: 99ms; RSS 352 MiB
Stage framework_pass [23/134]: 206ms; RSS 359 MiB
Stage string_literal_pass [23/134]: 169ms; RSS 378 MiB
Stage param_flow_pass [23/134]: 5ms; RSS 378 MiB
Stage route_pass [23/134]: 114ms; RSS 379 MiB
Batch 23/134: 32 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/primary-advantage/tsconfig.json in 2686ms; RSS 380 MiB
Stage primary_extraction [24/134]: 1630ms; RSS 314 MiB
Stage schema_pass [24/134]: 91ms; RSS 319 MiB
Stage framework_pass [24/134]: 107ms; RSS 332 MiB
Stage string_literal_pass [24/134]: 104ms; RSS 340 MiB
Stage param_flow_pass [24/134]: 6ms; RSS 340 MiB
Stage route_pass [24/134]: 65ms; RSS 340 MiB
Batch 24/134: 32 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/primary-advantage/tsconfig.json in 2165ms; RSS 340 MiB
Stage primary_extraction [25/134]: 1529ms; RSS 333 MiB
Stage schema_pass [25/134]: 58ms; RSS 334 MiB
Stage framework_pass [25/134]: 211ms; RSS 373 MiB
Stage string_literal_pass [25/134]: 184ms; RSS 376 MiB
Stage param_flow_pass [25/134]: 7ms; RSS 376 MiB
Stage route_pass [25/134]: 101ms; RSS 376 MiB
Batch 25/134: 32 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/primary-advantage/tsconfig.json in 2297ms; RSS 376 MiB
Stage primary_extraction [26/134]: 711ms; RSS 298 MiB
Stage schema_pass [26/134]: 44ms; RSS 307 MiB
Stage framework_pass [26/134]: 115ms; RSS 316 MiB
Stage string_literal_pass [26/134]: 31ms; RSS 318 MiB
Stage param_flow_pass [26/134]: 43ms; RSS 322 MiB
Stage route_pass [26/134]: 41ms; RSS 321 MiB
Batch 26/134: 32 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/primary-advantage/tsconfig.json in 1088ms; RSS 321 MiB
Stage primary_extraction [27/134]: 168ms; RSS 329 MiB
Stage schema_pass [27/134]: 22ms; RSS 323 MiB
Stage framework_pass [27/134]: 6ms; RSS 323 MiB
Stage string_literal_pass [27/134]: 5ms; RSS 323 MiB
Stage param_flow_pass [27/134]: 5ms; RSS 323 MiB
Stage route_pass [27/134]: 17ms; RSS 324 MiB
Batch 27/134: 32 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/primary-advantage/tsconfig.json in 303ms; RSS 324 MiB
Stage primary_extraction [28/134]: 1172ms; RSS 308 MiB
Stage schema_pass [28/134]: 102ms; RSS 316 MiB
Stage framework_pass [28/134]: 135ms; RSS 335 MiB
Stage string_literal_pass [28/134]: 48ms; RSS 335 MiB
Stage param_flow_pass [28/134]: 17ms; RSS 335 MiB
Stage route_pass [28/134]: 65ms; RSS 334 MiB
Batch 28/134: 32 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/primary-advantage/tsconfig.json in 1678ms; RSS 334 MiB
Stage primary_extraction [29/134]: 933ms; RSS 316 MiB
Stage schema_pass [29/134]: 30ms; RSS 317 MiB
Stage framework_pass [29/134]: 75ms; RSS 329 MiB
Stage string_literal_pass [29/134]: 66ms; RSS 342 MiB
Stage param_flow_pass [29/134]: 8ms; RSS 342 MiB
Stage route_pass [29/134]: 72ms; RSS 345 MiB
Batch 29/134: 32 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/primary-advantage/tsconfig.json in 1330ms; RSS 345 MiB
Stage primary_extraction [30/134]: 17ms; RSS 345 MiB
Stage schema_pass [30/134]: 94ms; RSS 345 MiB
Stage framework_pass [30/134]: 1ms; RSS 345 MiB
Stage string_literal_pass [30/134]: 1ms; RSS 345 MiB
Stage param_flow_pass [30/134]: 1ms; RSS 345 MiB
Stage route_pass [30/134]: 2ms; RSS 345 MiB
Batch 30/134: 4 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/primary-advantage/tsconfig.json in 126ms; RSS 345 MiB
Stage primary_extraction [31/134]: 423ms; RSS 310 MiB
Stage schema_pass [31/134]: 28ms; RSS 314 MiB
Stage framework_pass [31/134]: 17ms; RSS 319 MiB
Stage string_literal_pass [31/134]: 16ms; RSS 323 MiB
Stage param_flow_pass [31/134]: 5ms; RSS 323 MiB
Stage route_pass [31/134]: 56ms; RSS 335 MiB
Batch 31/134: 32 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/reading-advantage/tsconfig.json in 636ms; RSS 336 MiB
Stage primary_extraction [32/134]: 694ms; RSS 343 MiB
Stage schema_pass [32/134]: 102ms; RSS 347 MiB
Stage framework_pass [32/134]: 11ms; RSS 347 MiB
Stage string_literal_pass [32/134]: 6ms; RSS 348 MiB
Stage param_flow_pass [32/134]: 7ms; RSS 348 MiB
Stage route_pass [32/134]: 185ms; RSS 354 MiB
Batch 32/134: 32 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/reading-advantage/tsconfig.json in 1270ms; RSS 354 MiB
Stage primary_extraction [33/134]: 567ms; RSS 325 MiB
Stage schema_pass [33/134]: 89ms; RSS 334 MiB
Stage framework_pass [33/134]: 45ms; RSS 336 MiB
Stage string_literal_pass [33/134]: 28ms; RSS 335 MiB
Stage param_flow_pass [33/134]: 2ms; RSS 335 MiB
Stage route_pass [33/134]: 68ms; RSS 348 MiB
Batch 33/134: 32 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/reading-advantage/tsconfig.json in 868ms; RSS 348 MiB
Stage primary_extraction [34/134]: 267ms; RSS 350 MiB
Stage schema_pass [34/134]: 11ms; RSS 350 MiB
Stage framework_pass [34/134]: 17ms; RSS 350 MiB
Stage string_literal_pass [34/134]: 13ms; RSS 350 MiB
Stage param_flow_pass [34/134]: 3ms; RSS 343 MiB
Stage route_pass [34/134]: 21ms; RSS 313 MiB
Batch 34/134: 32 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/reading-advantage/tsconfig.json in 373ms; RSS 314 MiB
Stage primary_extraction [35/134]: 349ms; RSS 309 MiB
Stage schema_pass [35/134]: 15ms; RSS 311 MiB
Stage framework_pass [35/134]: 27ms; RSS 318 MiB
Stage string_literal_pass [35/134]: 26ms; RSS 321 MiB
Stage param_flow_pass [35/134]: 2ms; RSS 321 MiB
Stage route_pass [35/134]: 29ms; RSS 329 MiB
Batch 35/134: 32 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/reading-advantage/tsconfig.json in 499ms; RSS 329 MiB
Stage primary_extraction [36/134]: 375ms; RSS 330 MiB
Stage schema_pass [36/134]: 17ms; RSS 331 MiB
Stage framework_pass [36/134]: 11ms; RSS 332 MiB
Stage string_literal_pass [36/134]: 10ms; RSS 332 MiB
Stage param_flow_pass [36/134]: 6ms; RSS 330 MiB
Stage route_pass [36/134]: 30ms; RSS 334 MiB
Batch 36/134: 32 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/reading-advantage/tsconfig.json in 494ms; RSS 334 MiB
Stage primary_extraction [37/134]: 266ms; RSS 315 MiB
Stage schema_pass [37/134]: 8ms; RSS 316 MiB
Stage framework_pass [37/134]: 5ms; RSS 316 MiB
Stage string_literal_pass [37/134]: 4ms; RSS 317 MiB
Stage param_flow_pass [37/134]: 4ms; RSS 317 MiB
Stage route_pass [37/134]: 16ms; RSS 314 MiB
Batch 37/134: 32 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/reading-advantage/tsconfig.json in 337ms; RSS 312 MiB
Stage primary_extraction [38/134]: 213ms; RSS 307 MiB
Stage schema_pass [38/134]: 10ms; RSS 308 MiB
Stage framework_pass [38/134]: 14ms; RSS 309 MiB
Stage string_literal_pass [38/134]: 10ms; RSS 311 MiB
Stage param_flow_pass [38/134]: 4ms; RSS 311 MiB
Stage route_pass [38/134]: 16ms; RSS 314 MiB
Batch 38/134: 32 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/reading-advantage/tsconfig.json in 309ms; RSS 314 MiB
Stage primary_extraction [39/134]: 165ms; RSS 311 MiB
Stage schema_pass [39/134]: 7ms; RSS 311 MiB
Stage framework_pass [39/134]: 6ms; RSS 312 MiB
Stage string_literal_pass [39/134]: 6ms; RSS 312 MiB
Stage param_flow_pass [39/134]: 3ms; RSS 312 MiB
Stage route_pass [39/134]: 17ms; RSS 313 MiB
Batch 39/134: 32 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/reading-advantage/tsconfig.json in 235ms; RSS 313 MiB
Stage primary_extraction [40/134]: 298ms; RSS 313 MiB
Stage schema_pass [40/134]: 15ms; RSS 315 MiB
Stage framework_pass [40/134]: 16ms; RSS 315 MiB
Stage string_literal_pass [40/134]: 14ms; RSS 317 MiB
Stage param_flow_pass [40/134]: 6ms; RSS 317 MiB
Stage route_pass [40/134]: 39ms; RSS 322 MiB
Batch 40/134: 32 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/reading-advantage/tsconfig.json in 428ms; RSS 322 MiB
Stage primary_extraction [41/134]: 258ms; RSS 317 MiB
Stage schema_pass [41/134]: 15ms; RSS 319 MiB
Stage framework_pass [41/134]: 20ms; RSS 321 MiB
Stage string_literal_pass [41/134]: 12ms; RSS 321 MiB
Stage param_flow_pass [41/134]: 5ms; RSS 321 MiB
Stage route_pass [41/134]: 23ms; RSS 327 MiB
Batch 41/134: 32 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/reading-advantage/tsconfig.json in 374ms; RSS 327 MiB
Stage primary_extraction [42/134]: 1113ms; RSS 367 MiB
Stage schema_pass [42/134]: 31ms; RSS 367 MiB
Stage framework_pass [42/134]: 74ms; RSS 376 MiB
Stage string_literal_pass [42/134]: 63ms; RSS 392 MiB
Stage param_flow_pass [42/134]: 4ms; RSS 392 MiB
Stage route_pass [42/134]: 109ms; RSS 410 MiB
Batch 42/134: 32 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/reading-advantage/tsconfig.json in 1491ms; RSS 410 MiB
Stage primary_extraction [43/134]: 1274ms; RSS 375 MiB
Stage schema_pass [43/134]: 49ms; RSS 384 MiB
Stage framework_pass [43/134]: 177ms; RSS 409 MiB
Stage string_literal_pass [43/134]: 65ms; RSS 409 MiB
Stage param_flow_pass [43/134]: 5ms; RSS 409 MiB
Stage route_pass [43/134]: 85ms; RSS 417 MiB
Batch 43/134: 32 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/reading-advantage/tsconfig.json in 1812ms; RSS 422 MiB
Stage primary_extraction [44/134]: 1216ms; RSS 382 MiB
Stage schema_pass [44/134]: 52ms; RSS 383 MiB
Stage framework_pass [44/134]: 138ms; RSS 411 MiB
Stage string_literal_pass [44/134]: 124ms; RSS 428 MiB
Stage param_flow_pass [44/134]: 6ms; RSS 428 MiB
Stage route_pass [44/134]: 65ms; RSS 428 MiB
Batch 44/134: 32 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/reading-advantage/tsconfig.json in 1708ms; RSS 428 MiB
Stage primary_extraction [45/134]: 600ms; RSS 364 MiB
Stage schema_pass [45/134]: 46ms; RSS 375 MiB
Stage framework_pass [45/134]: 113ms; RSS 388 MiB
Stage string_literal_pass [45/134]: 29ms; RSS 388 MiB
Stage param_flow_pass [45/134]: 4ms; RSS 388 MiB
Stage route_pass [45/134]: 48ms; RSS 387 MiB
Batch 45/134: 32 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/reading-advantage/tsconfig.json in 936ms; RSS 387 MiB
Stage primary_extraction [46/134]: 1225ms; RSS 386 MiB
Stage schema_pass [46/134]: 57ms; RSS 391 MiB
Stage framework_pass [46/134]: 115ms; RSS 424 MiB
Stage string_literal_pass [46/134]: 107ms; RSS 431 MiB
Stage param_flow_pass [46/134]: 25ms; RSS 431 MiB
Stage route_pass [46/134]: 70ms; RSS 431 MiB
Batch 46/134: 32 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/reading-advantage/tsconfig.json in 1754ms; RSS 432 MiB
Stage primary_extraction [47/134]: 531ms; RSS 351 MiB
Stage schema_pass [47/134]: 37ms; RSS 359 MiB
Stage framework_pass [47/134]: 70ms; RSS 377 MiB
Stage string_literal_pass [47/134]: 44ms; RSS 390 MiB
Stage param_flow_pass [47/134]: 3ms; RSS 390 MiB
Stage route_pass [47/134]: 76ms; RSS 392 MiB
Batch 47/134: 32 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/reading-advantage/tsconfig.json in 832ms; RSS 392 MiB
Stage primary_extraction [48/134]: 1466ms; RSS 400 MiB
Stage schema_pass [48/134]: 98ms; RSS 416 MiB
Stage framework_pass [48/134]: 209ms; RSS 435 MiB
Stage string_literal_pass [48/134]: 74ms; RSS 435 MiB
Stage param_flow_pass [48/134]: 4ms; RSS 435 MiB
Stage route_pass [48/134]: 175ms; RSS 453 MiB
Batch 48/134: 32 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/reading-advantage/tsconfig.json in 2192ms; RSS 453 MiB
Stage primary_extraction [49/134]: 1814ms; RSS 409 MiB
Stage schema_pass [49/134]: 88ms; RSS 424 MiB
Stage framework_pass [49/134]: 288ms; RSS 445 MiB
Stage string_literal_pass [49/134]: 103ms; RSS 445 MiB
Stage param_flow_pass [49/134]: 7ms; RSS 445 MiB
Stage route_pass [49/134]: 250ms; RSS 463 MiB
Batch 49/134: 32 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/reading-advantage/tsconfig.json in 2719ms; RSS 463 MiB
Stage primary_extraction [50/134]: 1466ms; RSS 405 MiB
Stage schema_pass [50/134]: 33ms; RSS 406 MiB
Stage framework_pass [50/134]: 95ms; RSS 420 MiB
Stage string_literal_pass [50/134]: 77ms; RSS 440 MiB
Stage param_flow_pass [50/134]: 10ms; RSS 440 MiB
Stage route_pass [50/134]: 114ms; RSS 457 MiB
Batch 50/134: 32 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/reading-advantage/tsconfig.json in 2073ms; RSS 457 MiB
Stage primary_extraction [51/134]: 1441ms; RSS 407 MiB
Stage schema_pass [51/134]: 73ms; RSS 418 MiB
Stage framework_pass [51/134]: 209ms; RSS 453 MiB
Stage string_literal_pass [51/134]: 170ms; RSS 470 MiB
Stage param_flow_pass [51/134]: 11ms; RSS 470 MiB
Stage route_pass [51/134]: 94ms; RSS 473 MiB
Batch 51/134: 32 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/reading-advantage/tsconfig.json in 2160ms; RSS 473 MiB
Stage primary_extraction [52/134]: 927ms; RSS 420 MiB
Stage schema_pass [52/134]: 54ms; RSS 434 MiB
Stage framework_pass [52/134]: 226ms; RSS 449 MiB
Stage string_literal_pass [52/134]: 40ms; RSS 449 MiB
Stage param_flow_pass [52/134]: 3ms; RSS 449 MiB
Stage route_pass [52/134]: 55ms; RSS 449 MiB
Batch 52/134: 32 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/reading-advantage/tsconfig.json in 1400ms; RSS 450 MiB
Stage primary_extraction [53/134]: 281ms; RSS 465 MiB
Stage schema_pass [53/134]: 15ms; RSS 452 MiB
Stage framework_pass [53/134]: 11ms; RSS 413 MiB
Stage string_literal_pass [53/134]: 10ms; RSS 395 MiB
Stage param_flow_pass [53/134]: 4ms; RSS 388 MiB
Stage route_pass [53/134]: 34ms; RSS 376 MiB
Batch 53/134: 32 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/reading-advantage/tsconfig.json in 407ms; RSS 376 MiB
