Batch 27/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/primary-advantage/tsconfig.json in 510ms; RSS 278 MiB
Stage primary_extraction [28/133]: 1742ms; RSS 303 MiB
Stage schema_pass [28/133]: 96ms; RSS 309 MiB
Stage framework_pass [28/133]: 139ms; RSS 330 MiB
Stage string_literal_pass [28/133]: 113ms; RSS 330 MiB
Stage param_flow_pass [28/133]: 23ms; RSS 330 MiB
Stage route_pass [28/133]: 86ms; RSS 330 MiB
Batch 28/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/primary-advantage/tsconfig.json in 2598ms; RSS 331 MiB
Stage primary_extraction [29/133]: 1924ms; RSS 306 MiB
Stage schema_pass [29/133]: 43ms; RSS 306 MiB
Stage framework_pass [29/133]: 150ms; RSS 320 MiB
Stage string_literal_pass [29/133]: 85ms; RSS 334 MiB
Stage param_flow_pass [29/133]: 12ms; RSS 333 MiB
Stage route_pass [29/133]: 198ms; RSS 337 MiB
Batch 29/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/primary-advantage/tsconfig.json in 2655ms; RSS 337 MiB
Stage primary_extraction [30/133]: 24ms; RSS 338 MiB
Stage schema_pass [30/133]: 19ms; RSS 339 MiB
Stage framework_pass [30/133]: 6ms; RSS 337 MiB
Stage string_literal_pass [30/133]: 2ms; RSS 337 MiB
Stage param_flow_pass [30/133]: 3ms; RSS 337 MiB
Stage route_pass [30/133]: 2ms; RSS 337 MiB
Batch 30/133: 4 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/primary-advantage/tsconfig.json in 67ms; RSS 337 MiB
Stage primary_extraction [31/133]: 859ms; RSS 307 MiB
Stage schema_pass [31/133]: 54ms; RSS 313 MiB
Stage framework_pass [31/133]: 33ms; RSS 318 MiB
Stage string_literal_pass [31/133]: 32ms; RSS 319 MiB
Stage param_flow_pass [31/133]: 5ms; RSS 320 MiB
Stage route_pass [31/133]: 92ms; RSS 335 MiB
Batch 31/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/reading-advantage/tsconfig.json in 1187ms; RSS 335 MiB
Stage primary_extraction [32/133]: 1006ms; RSS 317 MiB
Stage schema_pass [32/133]: 161ms; RSS 329 MiB
Stage framework_pass [32/133]: 10ms; RSS 328 MiB
Stage string_literal_pass [32/133]: 7ms; RSS 328 MiB
Stage param_flow_pass [32/133]: 7ms; RSS 328 MiB
Stage route_pass [32/133]: 157ms; RSS 343 MiB
Batch 32/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/reading-advantage/tsconfig.json in 1790ms; RSS 343 MiB
Stage primary_extraction [33/133]: 1318ms; RSS 319 MiB
Stage schema_pass [33/133]: 143ms; RSS 326 MiB
Stage framework_pass [33/133]: 103ms; RSS 326 MiB
Stage string_literal_pass [33/133]: 93ms; RSS 327 MiB
Stage param_flow_pass [33/133]: 10ms; RSS 327 MiB
Stage route_pass [33/133]: 179ms; RSS 337 MiB
Batch 33/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/reading-advantage/tsconfig.json in 1986ms; RSS 337 MiB
Stage primary_extraction [34/133]: 415ms; RSS 296 MiB
Stage schema_pass [34/133]: 18ms; RSS 297 MiB
Stage framework_pass [34/133]: 42ms; RSS 301 MiB
Stage string_literal_pass [34/133]: 31ms; RSS 304 MiB
Stage param_flow_pass [34/133]: 4ms; RSS 305 MiB
Stage route_pass [34/133]: 38ms; RSS 311 MiB
Batch 34/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/reading-advantage/tsconfig.json in 657ms; RSS 311 MiB
Stage primary_extraction [35/133]: 618ms; RSS 300 MiB
Stage schema_pass [35/133]: 47ms; RSS 302 MiB
Stage framework_pass [35/133]: 121ms; RSS 309 MiB
Stage string_literal_pass [35/133]: 37ms; RSS 315 MiB
Stage param_flow_pass [35/133]: 3ms; RSS 315 MiB
Stage route_pass [35/133]: 53ms; RSS 324 MiB
Batch 35/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/reading-advantage/tsconfig.json in 1010ms; RSS 324 MiB
Stage primary_extraction [36/133]: 482ms; RSS 305 MiB
Stage schema_pass [36/133]: 32ms; RSS 307 MiB
Stage framework_pass [36/133]: 26ms; RSS 308 MiB
Stage string_literal_pass [36/133]: 21ms; RSS 308 MiB
Stage param_flow_pass [36/133]: 5ms; RSS 308 MiB
Stage route_pass [36/133]: 42ms; RSS 311 MiB
Batch 36/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/reading-advantage/tsconfig.json in 782ms; RSS 311 MiB
Stage primary_extraction [37/133]: 1059ms; RSS 295 MiB
Stage schema_pass [37/133]: 29ms; RSS 295 MiB
Stage framework_pass [37/133]: 7ms; RSS 296 MiB
Stage string_literal_pass [37/133]: 6ms; RSS 296 MiB
Stage param_flow_pass [37/133]: 5ms; RSS 296 MiB
Stage route_pass [37/133]: 26ms; RSS 297 MiB
Batch 37/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/reading-advantage/tsconfig.json in 1274ms; RSS 297 MiB
Stage primary_extraction [38/133]: 1488ms; RSS 298 MiB
Stage schema_pass [38/133]: 44ms; RSS 299 MiB
Stage framework_pass [38/133]: 61ms; RSS 301 MiB
